Time;FACT_Q_L;PRED_Q_L
2022-01-01 01:00:00;-24.393282793329043;11.937726257424776
2022-01-01 02:00:00;-23.71515946806302;11.051079079039384
2022-01-01 03:00:00;-24.48141019185653;10.333795140696752
2022-01-01 04:00:00;-21.290553818676944;10.085617938060992
2022-01-01 05:00:00;-22.95434289375637;10.113916089177204
2022-01-01 06:00:00;-19.65724639816983;9.994139506337257
2022-01-01 07:00:00;-21.602973141565762;9.843271018953407
2022-01-01 08:00:00;-24.244159352246545;9.114153942010711
2022-01-01 09:00:00;-22.63454227525709;9.098608674825918
2022-01-01 10:00:00;-20.47768688549922;9.60523267255044
2022-01-01 11:00:00;-25.248285936292525;10.200681102889439
2022-01-01 12:00:00;-20.23294757037011;10.312920116390769
2022-01-01 13:00:00;-23.286848227299185;9.811543691463369
2022-01-01 14:00:00;-22.182508038125448;9.202428300727762
2022-01-01 15:00:00;-20.201338022793887;9.209663410329078
2022-01-01 16:00:00;-20.835623601503748;
2022-01-01 17:00:00;-20.52922939143317;
2022-01-01 18:00:00;-21.444568457596215;
2022-01-01 19:00:00;-20.0243268545175;
2022-01-01 20:00:00;-19.79697215409282;
2022-01-01 21:00:00;-19.837920552317215;
2022-01-01 22:00:00;-23.83724756595112;
2022-01-01 23:00:00;-24.33045217675649;
2022-01-02 00:00:00;-18.611649972799164;
2022-01-02 01:00:00;-20.233590211754507;
2022-01-02 02:00:00;-18.586667173309227;
2022-01-02 03:00:00;-21.73019871736666;
2022-01-02 04:00:00;-23.434735732860602;
2022-01-02 05:00:00;-20.37324264086639;
2022-01-02 06:00:00;-17.324526893147556;
2022-01-02 07:00:00;-19.251908566217693;
2022-01-02 08:00:00;-21.148771324110772;
2022-01-02 09:00:00;-15.882803895303185;
2022-01-02 10:00:00;-20.899085898090966;
2022-01-02 11:00:00;-19.838422873887133;
2022-01-02 12:00:00;-19.148018753593764;
2022-01-02 13:00:00;-24.325049611988653;
2022-01-02 14:00:00;-24.84604261552472;
2022-01-02 15:00:00;-23.255959262943087;
2022-01-02 16:00:00;-22.35177660676615;
2022-01-02 17:00:00;-22.169024158774583;
2022-01-02 18:00:00;-19.826012661307445;
2022-01-02 19:00:00;-15.060382499367787;
2022-01-02 20:00:00;-17.220955556171823;
2022-01-02 21:00:00;-17.412233207362494;
2022-01-02 22:00:00;-19.58956618070779;
2022-01-02 23:00:00;-22.47879474598966;
2022-01-03 00:00:00;-23.681461323655032;
2022-01-03 01:00:00;-23.329107629814967;
2022-01-03 02:00:00;-23.588261341147522;
2022-01-03 03:00:00;-22.41217302854902;
2022-01-03 04:00:00;-19.977031688635797;
2022-01-03 05:00:00;-23.372358926923635;
2022-01-03 06:00:00;-23.588093381752877;
2022-01-03 07:00:00;-22.8087044022189;
2022-01-03 08:00:00;-19.425955119784042;
2022-01-03 09:00:00;-15.391121698395777;
2022-01-03 10:00:00;-19.35283166582649;
2022-01-03 11:00:00;-22.0948282859285;
2022-01-03 12:00:00;-17.466598030885923;
2022-01-03 13:00:00;-21.50495991799521;
2022-01-03 14:00:00;-21.051461503055243;
2022-01-03 15:00:00;-23.093433575512616;
2022-01-03 16:00:00;-21.29175657828112;
2022-01-03 17:00:00;-19.716493956065538;
2022-01-03 18:00:00;-19.284433878185613;
2022-01-03 19:00:00;-9.613649443907635;
2022-01-03 20:00:00;-13.618802319983395;
2022-01-03 21:00:00;-19.853866296262495;
2022-01-03 22:00:00;-20.784681225985302;
2022-01-03 23:00:00;-21.53924425275316;
2022-01-04 00:00:00;-22.208979925751155;
2022-01-04 01:00:00;-20.53474088926746;
2022-01-04 02:00:00;-23.95311852015577;
2022-01-04 03:00:00;-19.28867808875028;
2022-01-04 04:00:00;-15.99250072315862;
2022-01-04 05:00:00;-18.792074308406697;
2022-01-04 06:00:00;-20.348455073120448;
2022-01-04 07:00:00;-21.81138015975138;
2022-01-04 08:00:00;-21.504261922892102;
2022-01-04 09:00:00;-21.87605233965889;
2022-01-04 10:00:00;-19.582838894188622;
2022-01-04 11:00:00;-20.524512684321614;
2022-01-04 12:00:00;-18.80889193641343;
2022-01-04 13:00:00;-19.87152405406958;
2022-01-04 14:00:00;-17.882503325497183;
2022-01-04 15:00:00;-16.53385621221677;
2022-01-04 16:00:00;-21.772114241085113;
2022-01-04 17:00:00;-21.479656031176777;
2022-01-04 18:00:00;-18.710938571990795;
2022-01-04 19:00:00;-20.52373591062105;
2022-01-04 20:00:00;-14.463456658821258;
2022-01-04 21:00:00;-14.621620890220166;
2022-01-04 22:00:00;-21.737970064548442;
2022-01-04 23:00:00;-21.931024704603107;
2022-01-05 00:00:00;-25.122960288107837;
2022-01-05 01:00:00;-25.33654946225736;
2022-01-05 02:00:00;-21.796595047982102;
2022-01-05 03:00:00;-21.769906011804544;
2022-01-05 04:00:00;-18.918875393509623;
2022-01-05 05:00:00;-19.96143166546457;
2022-01-05 06:00:00;-22.174630803303096;
2022-01-05 07:00:00;-22.40163663864266;
2022-01-05 08:00:00;-23.229145611608406;
2022-01-05 09:00:00;-22.344273585937117;
2022-01-05 10:00:00;-20.908554991082912;
2022-01-05 11:00:00;-16.82419722731101;
2022-01-05 12:00:00;-19.763803812431266;
2022-01-05 13:00:00;-16.30813093501901;
2022-01-05 14:00:00;-17.022680375785026;
2022-01-05 15:00:00;-19.865304852194644;
2022-01-05 16:00:00;-20.24712931804608;
2022-01-05 17:00:00;-21.928298021912102;
2022-01-05 18:00:00;-23.67279793468464;
2022-01-05 19:00:00;-21.28037049520557;
2022-01-05 20:00:00;-21.256662424694657;
2022-01-05 21:00:00;-19.129090778773136;
2022-01-05 22:00:00;-18.90986029832309;
2022-01-05 23:00:00;-18.810367821023675;
2022-01-06 00:00:00;-18.658228234108392;
2022-01-06 01:00:00;-22.463833498934534;
2022-01-06 02:00:00;-21.119192647058366;
2022-01-06 03:00:00;-21.53740094345984;
2022-01-06 04:00:00;-22.737679593582598;
2022-01-06 05:00:00;-20.38192411729577;
2022-01-06 06:00:00;-21.206390418891328;
2022-01-06 07:00:00;-21.250997141901877;
2022-01-06 08:00:00;-22.882216142541818;
2022-01-06 09:00:00;-20.768169870651313;
2022-01-06 10:00:00;-17.16252094762569;
2022-01-06 11:00:00;-17.278514380523966;
2022-01-06 12:00:00;-19.295491401167993;
2022-01-06 13:00:00;-19.81586804804251;
2022-01-06 14:00:00;-26.379026618224188;
2022-01-06 15:00:00;-27.38603619888435;
2022-01-06 16:00:00;-26.422055764847663;
2022-01-06 17:00:00;-26.143103174296428;
2022-01-06 18:00:00;-21.886630267075766;
2022-01-06 19:00:00;-24.120502295679287;
2022-01-06 20:00:00;-20.90081788221121;
2022-01-06 21:00:00;-15.058740826727899;
2022-01-06 22:00:00;-21.69731638039911;
2022-01-06 23:00:00;-23.67567566148831;
2022-01-07 00:00:00;-20.341852402746706;
2022-01-07 01:00:00;-23.875266835300966;
2022-01-07 02:00:00;-23.399065497396617;
2022-01-07 03:00:00;-26.116729792574418;
2022-01-07 04:00:00;-25.220494954221543;
2022-01-07 05:00:00;-24.558180799252234;
2022-01-07 06:00:00;-26.598751628596315;
2022-01-07 07:00:00;-19.331849800499477;
2022-01-07 08:00:00;-18.27876997225654;
2022-01-07 09:00:00;-22.61515775371111;
2022-01-07 10:00:00;-21.734364436988464;
2022-01-07 11:00:00;-24.446099298218478;
2022-01-07 12:00:00;-23.285316311275892;
2022-01-07 13:00:00;-24.07137918185272;
2022-01-07 14:00:00;-23.815921397651618;
2022-01-07 15:00:00;-23.488037552838367;
2022-01-07 16:00:00;-23.441649059986332;
2022-01-07 17:00:00;-21.705371851791135;
2022-01-07 18:00:00;-24.47418519708702;
2022-01-07 19:00:00;-22.331974482900566;
2022-01-07 20:00:00;-22.370167798182624;
2022-01-07 21:00:00;-23.67302956722737;
2022-01-07 22:00:00;-21.61245078206427;
2022-01-07 23:00:00;-24.37416204654353;
2022-01-08 00:00:00;-24.824688200876572;
2022-01-08 01:00:00;-22.857724065190638;
2022-01-08 02:00:00;-20.98272928263397;
2022-01-08 03:00:00;-20.80840884855591;
2022-01-08 04:00:00;-23.8087002254514;
2022-01-08 05:00:00;-24.80707444716337;
2022-01-08 06:00:00;-25.26841819334064;
2022-01-08 07:00:00;-21.929170454756882;
2022-01-08 08:00:00;-22.170998028361705;
2022-01-08 09:00:00;-23.958785606153217;
2022-01-08 10:00:00;-23.273297248904324;
2022-01-08 11:00:00;-22.04551859702988;
2022-01-08 12:00:00;-22.692730359797665;
2022-01-08 13:00:00;-19.1981949167996;
2022-01-08 14:00:00;-17.109630779498826;
2022-01-08 15:00:00;-17.139974669541214;
2022-01-08 16:00:00;-21.04273320343849;
2022-01-08 17:00:00;-21.837050382503378;
2022-01-08 18:00:00;-18.941721546521833;
2022-01-08 19:00:00;-15.92014585382919;
2022-01-08 20:00:00;-19.94528365323579;
2022-01-08 21:00:00;-16.08238927056249;
2022-01-08 22:00:00;-24.968295068255685;
2022-01-08 23:00:00;-24.95995395332189;
2022-01-09 00:00:00;-21.395659875754646;
2022-01-09 01:00:00;-16.39817543331472;
2022-01-09 02:00:00;-17.326252908616215;
2022-01-09 03:00:00;-15.665974573343105;
2022-01-09 04:00:00;-17.299131657361766;
2022-01-09 05:00:00;-19.39774817102573;
2022-01-09 06:00:00;-23.30117797202255;
2022-01-09 07:00:00;-18.266291243040126;
2022-01-09 08:00:00;-22.174985249497375;
2022-01-09 09:00:00;-19.797799971059415;
2022-01-09 10:00:00;-19.793645508262912;
2022-01-09 11:00:00;-17.74830489913538;
2022-01-09 12:00:00;-18.565572828821836;
2022-01-09 13:00:00;-15.742142113687924;
2022-01-09 14:00:00;-19.646214148419304;
2022-01-09 15:00:00;-20.55592514954939;
2022-01-09 16:00:00;-19.851443834135928;
2022-01-09 17:00:00;-23.945727399972895;
2022-01-09 18:00:00;-23.381948657480496;
2022-01-09 19:00:00;-21.13143268863571;
2022-01-09 20:00:00;-18.670010379984728;
2022-01-09 21:00:00;-16.442723695437696;
2022-01-09 22:00:00;-18.59282081369911;
2022-01-09 23:00:00;-21.92970297791707;
2022-01-10 00:00:00;-21.047026767944363;
2022-01-10 01:00:00;-20.02682848861891;
2022-01-10 02:00:00;-21.844497700209512;
2022-01-10 03:00:00;-20.324085830000577;
2022-01-10 04:00:00;-19.30479984056904;
2022-01-10 05:00:00;-22.31153528687764;
2022-01-10 06:00:00;-21.003850687220826;
2022-01-10 07:00:00;-20.97257056406641;
2022-01-10 08:00:00;-24.58202708922472;
2022-01-10 09:00:00;-21.42320412222981;
2022-01-10 10:00:00;-22.167136173662836;
2022-01-10 11:00:00;-23.387945065327777;
2022-01-10 12:00:00;-23.594200389536724;
2022-01-10 13:00:00;-17.08763995980341;
2022-01-10 14:00:00;-19.591885131884446;
2022-01-10 15:00:00;-17.163232311418124;
2022-01-10 16:00:00;-16.853782036052515;
